filename,credit
writing-instruments.jpg,"General Research Division, The New York Public Library. 'An illustration of writing brushes' The New York Public Library Digital Collections. 1908. [https://digitalcollections.nypl.org/items/07caacb0-c6cc-012f-af8d-58d385a7bc34](https://digitalcollections.nypl.org/items/07caacb0-c6cc-012f-af8d-58d385a7bc34)"
writing-plan.jpg,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection, The New York Public Library. 'Group farm plan writing meeting. Weld County, Colorado' The New York Public Library Digital Collections. [https://digitalcollections.nypl.org/items/1b0a3fc0-1d42-0139-bac7-0242ac110003](https://digitalcollections.nypl.org/items/1b0a3fc0-1d42-0139-bac7-0242ac110003)"
Frankenstein1910.jpg,"A still from the film Frankenstein (1910), showing Charles Stanton Ogle as the monster."
Frankenstein_1818.jpg,"Title page of Mary Shelley's Frankenstein, first edition 1818"
FrankensteinDraft.jpg,Manuscript page from ''Frankenstein'' by Mary Shelley |[Source](http://www.bodley.ox.ac.uk/dept/scwmss/frank2.html)
Frontispiece_to_Frankenstein_1831.jpg,Illustration by Theodor von Holst from the frontispiece of the 1831 edition
